Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
las8899959,Dijual Kavling Pulau Opak New Cluster Permata Buana,"Rp 4,75 Miliar Total",Rp 33 Juta /m²,144 m² (18x8m),PPJB,18x8 m,Tanah,Dijual,"Permata Buana, Jakarta Barat",Jakarta Barat,Permata Buana,"For sale di wilayah yang tenang. Dengan kategorinya adalah sebagai berikut:
  - Sertifikat: PPJB
  - Bebas Banjir.
  - Dekat Akses Bandara.
  - Dekat Pusat Perbelanjaan.
  - Dekat Sekolah Internasional.
  - Dekat Fasilitas Kesehatan.
  - Dekat Tempat Ibadah.
  - Dekat Taman Kota.
  - Dekat Landmark.
  - Lokasi di Pusat Kota.
  - Adem & Sejuk.
  - Lingkungan Tenang dan Damai.
  - Lokasi Bebas Banjir.
  - One Gate System.
  - Hitungan Tanah Meter Persegi.

Lokasi tanah ini terjangkau, hanya selangkah menuju berbagai fasilitas utama dan menarik."
Dijual,Kemang Pejaten Barat Raya Nempel Njop Bisa Bangun 10 Lt Zona Komersial,"Rp 47,3 Miliar Total","Rp 18,5 Juta /m²",2561 m² (90x28m),SHM,90x28 m,Ada,Tanah,"Kemang, Jakarta Selatan",Jakarta Selatan,Kemang,"Lahan Kosong di Jalan Pejaten Barat Raya bisa dibangun 10 lantai
Lokasi Strategis dekat pusat Kuliner Kemang & Ampera.
Luas lahan : 2.561m²
                    Lebar x Panjang (+/-) : 28m x 90m
Sertifikat: SHM, IMB, PBB lengkap
Peruntukan : Sub Zona K2 = Perdagangan & Jasa
Jalan depan Lahan : 16m, 2 arah dgn separator
Bebas Ganjil-Genap
Bebas Banjir
Lokasi berdekatan dengan :
- Pusat Kuliner Kemang Raya dan Ampera Raya
- Mall The Park Pejaten
- Australian Internasional School (AIS)
- Supermarket Superindo Pejaten
- Busway Line Buncit Raya"
las8971423,DI JUAL TANAH KOMERSIL TEPI JALAN CAWANG,Rp 17 Miliar Total,,497 m²,SHM,,Tanah,Dijual,"Cawang, Jakarta Timur",Jakarta Timur,Cawang,"DI Jual Tanah di Cawang, Jakarta Timur.

- Sertifikat Hak Milik sudah memiliki IMB: -

Dan properti ini juga terdepan karena:

- Dekat Akses KRL.
- Dekat Akses Transjakarta.
- Dekat Akses Bus Kota.
- Dekat Akses LRT.
- Dekat Pusat Perbelanjaan.
- Dekat Sekolah Internasional.
- Dekat Sekolah Negeri.
- Dekat Universitas.
- Dekat Fasilitas Kesehatan.

Keberadaan tanah ini terjangkau, hanya selangkah menuju berbagai fasilitas utama dan menarik. Cocok tempat usaha  dan perkantoran

Hanya Rp. 17.000.000.xxx, anda dapat langsung dapatkan tanah istimewa di daerah Cawang."
las8706550,"Kavling Di Cluster The Piano at Golf Island PIK, Kota Jakarta Utara","Rp 6,25 Miliar Total",Rp 25 Juta /m²,250 m² (25x10m),PPJB,25x10 m,Tanah,Dijual,"Pantai Indah Kapuk, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk,"Pantai Indah Kapuk PIK Golf Island
Cluster The Piano Hadap Danau

Spesifikasinya:
Luas tanah 250 m2 (10 x 25m)
Posisi kavling Hadap Utara
Type Badan
Hadap Danau


Harga jual Rp 25.000.000,- / meter (nego)


Cluster The Piano berlokasi strategis di dalam kota mandiri Golf Island PIK, Kota Jakarta Utara. Memiliki kemudahan akses melalui exit Tol JORR yang hanya berjarak 8 menit saja.

Selain itu, dapat juga diakses dengan transportasi umum yaitu Transjakarta. Sehingga penghuni dapat lebih mudah untuk menuju pusat kota Jakarta.

Fasilitas

Fasilitas yang tersedia di dalam clutser The Piano sangat lengkap dan dapat menunjang aktivitas sehari-hari penghuni. Tersedia fasilitas playground anak, jogging track, area terbuka hijau yang luas lengkap dengan danau yang indah.

Untuk fasilitas keamanan, cluster ini memiliki satu akses pintu masuk dengan sistem keamanan 24 jam. Selain itu, berdekatan dengan pusat perbelanjaan, food hall, rumah sakit, serta instansi pendidikan."
las8706566,Kavling Hoek Di Cluster The Piano at Golf Island PIK,"Rp 9,37 Miliar Total",Rp 25 Juta /m²,375 m² (25x15m),Lainnya,25x15 m,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"Pantai Indah Kapuk PIK Golf Island
Cluster The Piano Hadap Danau

Spesifikasinya:
Luas tanah 375 m2 (15 x 25m)
Posisi kavling Hadap Utara
Type Hoek
Hadap Danau


Harga jual Rp 25.000.000,- / meter (nego)


Cluster The Piano berlokasi strategis di dalam kota mandiri Golf Island PIK, Kota Jakarta Utara. Memiliki kemudahan akses melalui exit Tol JORR yang hanya berjarak 8 menit saja.

Selain itu, dapat juga diakses dengan transportasi umum yaitu Transjakarta. Sehingga penghuni dapat lebih mudah untuk menuju pusat kota Jakarta.

Fasilitas

Fasilitas yang tersedia di dalam clutser The Piano sangat lengkap dan dapat menunjang aktivitas sehari-hari penghuni. Tersedia fasilitas playground anak, jogging track, area terbuka hijau yang luas lengkap dengan danau yang indah.

Untuk fasilitas keamanan, cluster ini memiliki satu akses pintu masuk dengan sistem keamanan 24 jam. Selain itu, berdekatan dengan pusat perbelanjaan, food hall, rumah sakit, serta instansi pendidikan."
Dijual,Kavling Hoek Di Cluster The Piano at Golf Island PIK,"Rp 9,37 Miliar Total",Rp 25 Juta /m²,375 m² (25x15m),Lainnya,,25x15 m,Tanah,"Pantai Indah Kapuk, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk,"Pantai Indah Kapuk PIK Golf Island
Cluster The Piano Hadap Danau

Spesifikasinya:
Luas tanah 375 m2 (15 x 25m)
Posisi kavling Hadap Utara
Type Hoek
Hadap Danau


Harga jual Rp 25.000.000,- / meter (nego)


Cluster The Piano berlokasi strategis di dalam kota mandiri Golf Island PIK, Kota Jakarta Utara. Memiliki kemudahan akses melalui exit Tol JORR yang hanya berjarak 8 menit saja.

Selain itu, dapat juga diakses dengan transportasi umum yaitu Transjakarta. Sehingga penghuni dapat lebih mudah untuk menuju pusat kota Jakarta.

Fasilitas

Fasilitas yang tersedia di dalam clutser The Piano sangat lengkap dan dapat menunjang aktivitas sehari-hari penghuni. Tersedia fasilitas playground anak, jogging track, area terbuka hijau yang luas lengkap dengan danau yang indah.

Untuk fasilitas keamanan, cluster ini memiliki satu akses pintu masuk dengan sistem keamanan 24 jam. Selain itu, berdekatan dengan pusat perbelanjaan, food hall, rumah sakit, serta instansi pendidikan."
las8706558,"Kavling Di Cluster The Piano at Golf Island PIK, Kota Jakarta Utara","Rp 6,25 Miliar Total",Rp 25 Juta /m²,250 m² (25x10m),Lainnya,25x10 m,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"Pantai Indah Kapuk PIK Golf Island
Cluster The Piano Hadap Danau

Spesifikasinya:
Luas tanah 250 m2 (10 x 25m)
Posisi kavling Hadap Utara
Type Badan
Hadap Danau


Harga jual Rp 25.000.000,- / meter (nego)


Cluster The Piano berlokasi strategis di dalam kota mandiri Golf Island PIK, Kota Jakarta Utara. Memiliki kemudahan akses melalui exit Tol JORR yang hanya berjarak 8 menit saja.

Selain itu, dapat juga diakses dengan transportasi umum yaitu Transjakarta. Sehingga penghuni dapat lebih mudah untuk menuju pusat kota Jakarta.

Fasilitas

Fasilitas yang tersedia di dalam clutser The Piano sangat lengkap dan dapat menunjang aktivitas sehari-hari penghuni. Tersedia fasilitas playground anak, jogging track, area terbuka hijau yang luas lengkap dengan danau yang indah.

Untuk fasilitas keamanan, cluster ini memiliki satu akses pintu masuk dengan sistem keamanan 24 jam. Selain itu, berdekatan dengan pusat perbelanjaan, food hall, rumah sakit, serta instansi pendidikan."
las4269281,Super Best Deal Tanah Komersial Cbd Pik 2. Bisa Bangun 25 Lantai,Rp 191 Miliar Total,Rp 50 Juta /m²,3825 m² (66x65m),HGB,66x65 m,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"KAVLING KOMERSIAL CBD PIK 2, SATU-SATUNYA KAVLING KOMERSIAL BISA BANGUN HINGGA 25 LANTAI!

Ukuran 65x66 = 3825m2 
JL MH THAMRIN, POSISI BOULEVARD! 
SELANGKAH MENUJU MENARA SYARIAH DAN EXIT TOL GATE!

For More : 
Cipto - Icon Property
08778xxxxxxx"
las8835998,DIJUAL TANAH KAVLING LOKASI STRATEGIS DI GADING KIRANA,"Rp 4,28 Miliar Total",Rp 28 Juta /m²,153 m²,HGB,,Tanah,Dijual,"Kelapa Gading, Jakarta Utara",Jakarta Utara,Kelapa Gading,"Dijual Kavling 
Gading Kirana 

Luas tanah 10211 meter
Lokasi Super Strategis"
las8941868,"Dijual Tanah Murah Bisa Buat Kantor,ruang Usaha,klinik,kantor Atau Ruko Atau Multifungsi Bisa Bangun Sampai 4 Lantai Lokasi Pinggir Jalan Strategis Area Kemang Jakarta Selatan","Rp 15,4 Miliar Total",,543 m² (30x19m),SHM,30x19 m,Tanah,Dijual,"Kemang, Jakarta Selatan",Jakarta Selatan,Kemang,"Dijual Tanah Murah Bisa Buat Kantor,Ruang Usaha,Klinik,Kantor Atau Ruko Atau Multifungsi Bisa Bangun sampai 4 Lantai Lokasi Pinggir Jalan Strategis Area Kemang Jakarta Selatan

Luas 543m2 lebar panjang 19x30
Shm

Harga Rp.15.4 M"
