Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
,"Dijual Tanah Lokasi Strategis di Condet, Luas 4150m², Dekat Condet, Jakarta Timur, Jakarta Timur",Rp75 Miliar Total,Harga per m² Rp.18 Juta,LT4150 m²,SHM,,,,"Condet, Jakarta Timur",Jakarta Timur,"Kramat Jati,",
,DIJUAL TANAH KOSONG PAS & COCOK U/ INVEST,Rp480 Juta Total,Harga per m² Rp.10 Juta,LT48 m²,HGB,,,,"Rawamangun, Pulo Gadung, Jakarta Timur",Jakarta Timur,pulo gadung,
,Kavling murah jakarta timur,Rp348 Juta Total,"Harga per m² Rp.6,7 Juta",LT52 m²,AJB,,,,"Cipayung, Jakarta Timur",Jakarta Timur,cipayung,
,Dijual Tanah Luas SHM di Pinang Ranti Zona Komersial,Rp35 Miliar Total,"Harga per m² Rp.23,5 Juta",LT1486 m²,SHM,,,,"Makasar, Jakarta Timur",Jakarta Timur,makasar,
,Dijual Tanah Kavling Citra Gran Cibubur,"Rp1,35 Miliar Total","Harga per m² Rp.8,13 Juta",LT166 m²,HGB,,,,"Cibubur, Jakarta Timur, Cakung",Jakarta Timur,Cakung,
,Dijual Tanah Kavling di Belakang Raffles Hills Cibubur Cocok untuk bangun cluster,"Rp7,69 Miliar Total","Harga per m² Rp.4,5 Juta",LT1710 m²,SHM,,,,"Cibubur, Jakarta Timur, Cakung",Jakarta Timur,Cakung,
,Jual Cepat Tanah Boulevard Citra Gran Cibubur,"Rp2,45 Miliar Total",Harga per m² Rp.10 Juta,LT245 m²,HGB,,,,"Cibubur, Jakarta Timur, Cakung",Jakarta Timur,Cakung,
,"Dijual Tanah Kavling dalam Cluster komplek IPTN, Dekat ke Stasiun LRT Harjamukti Cibubur","Rp1,57 Miliar Total","Harga per m² Rp.7,5 Juta",LT210 m²,SHM,,,,"Cibubur, Jakarta Timur, Cakung",Jakarta Timur,Cakung,
,"Tanah Kawasan Cipinang, Luas 190m², Dekat Fasilitas, Prospek Menjanjikan","Rp2,5 Miliar Total",lebih hemat,LT190 m²,Lainnya,,,,"Cipinang, Jakarta Timur",Jakarta Timur,pulo gadung,
,"AREA PROSPEKTIF! Tanah di Rawamangun, Luas 570m², Akses Fasilitas Umum","Rp11,6 Miliar Total","Harga per m² Rp.20,3 Juta",LT570 m²,SHM,,,,"Rawamangun, Jakarta Timur",Jakarta Timur,pulo gadung,
